DMS,ERT,MOT,PAL,SWM
DMSCC,ERTMDCRTA,MOTML,PALFAMS,SWMBE
DMSL0SD,ERTMDCRTD,MOTSDL,PALMETS,SWMBE4
DMSL12SD,ERTMDCRTF,MOTTC,PALNPR,SWMBE6
DMSL4SD,ERTMDCRTH,MOTTE,PALTA,SWMBE8
DMSLADSD,ERTMDCRTS,,PALTA2,SWMDE
DMSLSD,ERTMDCRTSU,,PALTA4,SWMDE4
DMSLSSD,ERTMDRTA,,PALTA6,SWMDE6
DMSMDL,ERTMDRTD,,PALTA8,SWMDE8
DMSMDL0,ERTMDRTF,,PALTE,SWMPR
DMSMDL12,ERTMDRTH,,PALTE2,SWMS
DMSMDL4,ERTMDRTS,,PALTE4,SWMTE
DMSMDLAD,ERTMDRTSU,,PALTE6,SWMTE4
DMSMDLS,ERTOCRTSD,,PALTE8,SWMTE6
DMSML,ERTOMDCRT,,PALTEA,SWMTE8
DMSML0,ERTOMDRT,,PALTEA2,SWMWE
DMSML12,ERTORTSD,,PALTEA4,SWMWE4
DMSML4,ERTTFAA,,PALTEA6,SWMWE6
DMSMLAD,ERTTFAD,,PALTEA8,SWMWE8
DMSMLS,ERTTFAF,,,
DMSPC,ERTTFAH,,,
DMSPC0,ERTTFAS,,,
DMSPC12,ERTTFASU,,,
DMSPC4,ERTTH,,,
DMSPCAD,ERTTHA,,,
DMSPCS,ERTTHD,,,
DMSPEGC,ERTTHF,,,
DMSPEGE,ERTTHH,,,
DMSTC,ERTTHS,,,
DMSTC0,ERTTHSU,,,
DMSTC12,ERTUHRA,,,
DMSTC4,ERTUHRD,,,
DMSTCAD,ERTUHRF,,,
DMSTCS,ERTUHRH,,,
DMSTE,ERTUHRS,,,
DMSTEAD,ERTUHRSU,,,
DMSTEC,,,,
DMSTECAD,,,,
DMSTED,,,,
DMSTEDAD,,,,
DMSTEP,,,,
DMSTEPAD,,,,
